Arquivo,Numero_de_Linhas
ACAILANDIA,309
ALCANTARA,93
ARAIOSES,351
BACABAL,87
BARRA DO CORDA,8
BARREIRINHAS,44
BURITICUPU,109
CAMPUS AVANÇADO CAROLINA,114
CAXIAS,240
CENTRO HISTORICO,175
CODÓ,221
COELHO NETO,39
ITAPECURU MIRIN,68
MARACANA,396
MONTE CASTELO,661
PEDREIRAS,35
PINHEIRO,203
PORTO FRANCO,59
PRESIDENTE DUTRA,27
REITORIA,219
ROSÁRIO,17
SANTA INES,158
SAO JOAO DOS PATOS,154
SAO JOSE RIBAMAR,10
S�O RAIMUNDO DAS MANGABEIRAS,234
TIMON,120
VIANA,30
ZE DOCA,40
