Arquivo,Numero_de_Linhas
ACAILANDIA,55
ALCANTARA,41
ARAIOSES,98
BACABAL,48
BARRA DO CORDA,3
BARREIRINHAS,20
BURITICUPU,69
CAMPUS AVANÇADO CAROLINA,35
CAXIAS,64
CENTRO HISTORICO,66
CODÓ,211
COELHO NETO,8
ITAPECURU MIRIN,33
MARACANA,208
MONTE CASTELO,272
PEDREIRAS,6
PINHEIRO,23
PORTO FRANCO,30
PRESIDENTE DUTRA,9
REITORIA,127
ROSÁRIO,8
SANTA INES,36
SAO JOAO DOS PATOS,38
SAO JOSE RIBAMAR,3
SÃO RAIMUNDO DAS MANGABEIRAS,77
TIMON,32
VIANA,10
ZE DOCA,20
